approach,variant,distance_metric,policy,enrollment_samples,test_accuracy,far,frr,eer,false_accepts,false_rejects,genuine_trials,impostor_trials,max_user_far,max_user_frr,mean_user_far,mean_user_frr,balanced_error,roc_auc,notes,far_percent,frr_percent,balanced_error_percent,eer_percent
embedding_based_verification,mean_template_50_enrollment_samples,manhattan,global,50,,0.0090735294117647,0.2264705882352941,0.0633872549019607,1851,924,4080,204000,0.03575,0.7,0.0090735294117647,0.2264705882352941,0.1177720588235294,0.9822292351499424,Шаблон построен по ограниченному числу enrollment samples.,0.90735294117647,22.64705882352941,11.77720588235294,6.338725490196071
embedding_based_verification,mean_template_full_train_256_samples,manhattan,global,256,,0.008985294117647,0.2166666666666666,,1833,884,4080,204000,0.0345,0.7,0.008985294117647,0.2166666666666666,0.1128259803921568,,Шаблон построен по всем 256 train samples пользователя.,0.8985294117646999,21.66666666666666,11.28259803921568,
embedding_based_verification,mean_template_5_enrollment_samples,manhattan,guarded,5,,0.0082009803921568,0.3044117647058823,0.073610294117647,1673,1242,4080,204000,0.0415,0.9,0.0082009803921568,0.3044117647058824,0.1563063725490196,0.9776776546280278,Шаблон построен по ограниченному числу enrollment samples.,0.82009803921568,30.441176470588232,15.630637254901961,7.3610294117647
embedding_based_verification,mean_template_10_enrollment_samples,manhattan,guarded,10,,0.0085245098039215,0.2443627450980392,0.069142156862745,1739,997,4080,204000,0.03375,0.775,0.0085245098039215,0.2443627450980392,0.1264436274509804,0.9796036374231064,Шаблон построен по ограниченному числу enrollment samples.,0.8524509803921501,24.43627450980392,12.64436274509804,6.9142156862745
embedding_based_verification,mean_template_20_enrollment_samples,manhattan,guarded,20,,0.0073431372549019,0.230392156862745,0.0634264705882352,1498,940,4080,204000,0.03225,0.7125,0.0073431372549019,0.230392156862745,0.1188676470588235,0.9822649647971934,Шаблон построен по ограниченному числу enrollment samples.,0.73431372549019,23.0392156862745,11.88676470588235,6.34264705882352
embedding_based_verification,mean_template_30_enrollment_samples,manhattan,guarded,30,,0.0077058823529411,0.2306372549019608,0.0639558823529411,1572,941,4080,204000,0.0275,0.7,0.0077058823529411,0.2306372549019608,0.1191715686274509,0.982580452830642,Шаблон построен по ограниченному числу enrollment samples.,0.77058823529411,23.06372549019608,11.91715686274509,6.39558823529411
embedding_based_verification,mean_template_50_enrollment_samples,manhattan,guarded,50,,0.0085588235294117,0.2279411764705882,0.0633872549019607,1746,930,4080,204000,0.03575,0.7,0.0085588235294117,0.2279411764705882,0.11825,0.9822292351499424,Шаблон построен по ограниченному числу enrollment samples.,0.85588235294117,22.79411764705882,11.825,6.338725490196071
embedding_based_verification,mean_template_full_train_256_samples,manhattan,guarded,256,,0.0082794117647058,0.217156862745098,,1689,886,4080,204000,0.03275,0.7,0.0082794117647058,0.217156862745098,0.1127181372549019,,Шаблон построен по всем 256 train samples пользователя.,0.8279411764705801,21.7156862745098,11.27181372549019,
embedding_based_verification,mean_template_5_enrollment_samples,manhattan,per_user,5,,0.0094019607843137,0.2392156862745098,0.073610294117647,1918,976,4080,204000,0.015,0.8375,0.0094019607843137,0.2392156862745098,0.1243088235294117,0.9776776546280278,Шаблон построен по ограниченному числу enrollment samples.,0.94019607843137,23.921568627450977,12.43088235294117,7.3610294117647
embedding_based_verification,mean_template_10_enrollment_samples,manhattan,per_user,10,,0.0091960784313725,0.1931372549019608,0.069142156862745,1876,788,4080,204000,0.01425,0.625,0.0091960784313725,0.1931372549019607,0.1011666666666666,0.9796036374231064,Шаблон построен по ограниченному числу enrollment samples.,0.91960784313725,19.31372549019608,10.11666666666666,6.9142156862745
embedding_based_verification,mean_template_20_enrollment_samples,manhattan,per_user,20,,0.009142156862745,0.1762254901960784,0.0634264705882352,1865,719,4080,204000,0.0175,0.5125,0.009142156862745,0.1762254901960784,0.0926838235294117,0.9822649647971934,Шаблон построен по ограниченному числу enrollment samples.,0.9142156862745001,17.62254901960784,9.268382352941169,6.34264705882352
embedding_based_verification,mean_template_30_enrollment_samples,manhattan,per_user,30,,0.0093431372549019,0.1769607843137255,0.0639558823529411,1906,722,4080,204000,0.01575,0.5,0.0093431372549019,0.1769607843137255,0.0931519607843137,0.982580452830642,Шаблон построен по ограниченному числу enrollment samples.,0.93431372549019,17.69607843137255,9.31519607843137,6.39558823529411
embedding_based_verification,mean_template_50_enrollment_samples,manhattan,per_user,50,,0.0093823529411764,0.1725490196078431,0.0633872549019607,1914,704,4080,204000,0.01525,0.5125,0.0093823529411764,0.1725490196078431,0.0909656862745098,0.9822292351499424,Шаблон построен по ограниченному числу enrollment samples.,0.9382352941176401,17.25490196078431,9.09656862745098,6.338725490196071
embedding_based_verification,mean_template_full_train_256_samples,manhattan,per_user,256,,0.0094950980392156,0.1654411764705882,,1937,675,4080,204000,0.016,0.5125,0.0094950980392156,0.1654411764705882,0.0874681372549019,,Шаблон построен по всем 256 train samples пользователя.,0.94950980392156,16.54411764705882,8.74681372549019,
softmax_based_verification,baseline_v2_mlp_128_64_batchnorm,softmax_score,global,,0.9179,0.010005,0.025245,0.0171,2041,103,4080,204000,0.029,0.075,,,0.017625000000000002,,Зафиксированный softmax baseline v2 из предыдущего этапа.,1.0005,2.5245,1.7625000000000002,1.71
softmax_based_verification,baseline_v2_mlp_128_64_batchnorm,softmax_score,guarded,,0.9179,0.009613,0.02549,0.0171,1961,104,4080,204000,0.029,0.075,,,0.017551499999999998,,Зафиксированный softmax baseline v2 из предыдущего этапа.,0.9613,2.549,1.7551499999999998,1.71
