enrollment_samples,split,distance_metric,policy,threshold_source,target_far,users_count,samples_count,genuine_trials,impostor_trials,genuine_accepts,genuine_rejects,impostor_accepts,impostor_rejects,far,frr,balanced_error,mean_user_far,mean_user_frr,max_user_far,max_user_frr,guarded_users_count,roc_auc,eer,eer_threshold,far_at_eer_threshold,frr_at_eer_threshold,genuine_distance_mean,impostor_distance_mean,separation_margin
30,test,euclidean,guarded,validation,0.01,51,4080,4080,204000,3155,925,1799,202201,0.008818627450980393,0.2267156862745098,0.1177671568627451,0.00881862745098039,0.22671568627450983,0.044,0.7125,2,0.9777165062716262,0.07090196078431371,9.403789520263672,0.0712156862745098,0.07058823529411762,6.217124749661661,13.028389224807421,6.8112644751457605
30,validation,cosine,global,validation,0.01,51,3264,3264,163200,2737,527,1632,161568,0.01,0.16145833333333334,0.08572916666666668,0.01,0.16145833333333334,0.0340625,0.546875,0,0.9861226216704513,0.05911458333333331,0.25570011138916016,0.05909926470588235,0.05912990196078427,0.10970862936593738,0.4720744471956848,0.3623658178297474
30,test,cosine,global,validation,0.01,51,4080,4080,204000,3429,651,1893,202107,0.009279411764705882,0.15955882352941175,0.08441911764705881,0.009279411764705882,0.15955882352941178,0.02875,0.55,0,0.9860513997020377,0.05736274509803922,0.2536962032318115,0.057372549019607845,0.057352941176470607,0.11001992463773372,0.47309126336784924,0.36307133873011554
30,validation,cosine,per_user,validation,0.01,51,3264,3264,163200,2800,464,1632,161568,0.01,0.14215686274509803,0.07607843137254902,0.01,0.14215686274509803,0.01,0.53125,0,0.9861226216704513,0.05911458333333331,0.25570011138916016,0.05909926470588235,0.05912990196078427,0.10970862936593738,0.4720744471956848,0.3623658178297474
30,test,cosine,per_user,validation,0.01,51,4080,4080,204000,3503,577,1930,202070,0.00946078431372549,0.14142156862745098,0.07544117647058823,0.00946078431372549,0.141421568627451,0.0145,0.55,0,0.9860513997020377,0.05736274509803922,0.2536962032318115,0.057372549019607845,0.057352941176470607,0.11001992463773372,0.47309126336784924,0.36307133873011554
30,validation,cosine,guarded,validation,0.01,51,3264,3264,163200,2736,528,1505,161695,0.009221813725490196,0.16176470588235295,0.08549325980392157,0.009221813725490196,0.16176470588235295,0.0340625,0.546875,5,0.9861226216704513,0.05911458333333331,0.25570011138916016,0.05909926470588235,0.05912990196078427,0.10970862936593738,0.4720744471956848,0.3623658178297474
30,test,cosine,guarded,validation,0.01,51,4080,4080,204000,3427,653,1764,202236,0.008647058823529412,0.16004901960784312,0.08434803921568627,0.008647058823529412,0.16004901960784315,0.02875,0.55,5,0.9860513997020377,0.05736274509803922,0.2536962032318115,0.057372549019607845,0.057352941176470607,0.11001992463773372,0.47309126336784924,0.36307133873011554
30,validation,manhattan,global,validation,0.01,51,3264,3264,163200,2526,738,1632,161568,0.01,0.2261029411764706,0.1180514705882353,0.01,0.2261029411764706,0.0371875,0.703125,0,0.9836326341581363,0.06316176470588236,40.46657180786133,0.0632107843137255,0.06311274509803921,26.11326276963832,57.52362183335949,31.41035906372117
30,test,manhattan,global,validation,0.01,51,4080,4080,204000,3154,926,1818,202182,0.008911764705882353,0.2269607843137255,0.11793627450980392,0.008911764705882353,0.22696078431372552,0.034,0.7,0,0.982580452830642,0.06395588235294117,40.62739181518555,0.06394117647058824,0.06397058823529411,26.248517286193138,57.75462009395338,31.50610280776024
30,validation,manhattan,per_user,validation,0.01,51,3264,3264,163200,2701,563,1632,161568,0.01,0.1724877450980392,0.09124387254901961,0.01,0.1724877450980392,0.01,0.5,0,0.9836326341581363,0.06316176470588236,40.46657180786133,0.0632107843137255,0.06311274509803921,26.11326276963832,57.52362183335949,31.41035906372117
